municipality,year,33,11,6,3,24,15,12,25,4,30,41,29,20,39,31,target,target_increase,prev_count
Maraã,2009,1642324,819084,10102430,6243000,1480,14582,21246,,,,,,,,,1,0,28.0
Nhamundá,2009,1121597,300552,571267,13597052,1135,160279,5106,316.0,143.0,,,,,,,1,1,9.0
Anamã,2009,201816,54478,689304,1782895,466,8081,4189,1.0,,,,,,,,1,1,1.0
Itacoatiara,2009,1933154,556444,2000627,4864162,18917,534296,52461,252.0,,1181.0,,,,,,1,0,251.0
Careiro da Várzea,2010,620671,618746,845333,599896,652,218746,39708,,,,,,,,,1,1,46.0
Santo Antônio do Içá,2010,586329,24641,4161665,9072511,10505,6366,1034,,,,,,,,,1,0,15.0
Boca do Acre,2010,148197,49436,685391,21754000,4763,1668894,7166,476.0,1227.0,,1257.0,,,,,1,1,212.0
Tonantins,2010,367795,53180,2135172,4647006,2266,8364,6168,,,,,,,,,1,1,4.0
Tefé,2010,715789,108245,1963508,23712602,8329,69028,4784,2.0,383.0,,,,,,,1,1,42.0
Uarini,2010,556037,74421,3348305,7508326,1991,10339,12142,,,,,,,,,1,1,5.0
Guajará,2010,45976,7881,1188756,6919781,3914,381158,1447,4.0,,,,,,,,1,1,23.0
Autazes,2010,1108989,547181,1464225,4759606,7782,624179,66638,9.0,138.0,,,,,,,1,0,106.0
Japurá,2010,1494175,142501,7744090,52990557,1077,10918,6720,,,159.0,,,,,,1,1,6.0
Parintins,2010,2199205,847516,930034,2142507,17223,524553,8301,88.0,,,188.0,,,,,1,1,58.0
Humaitá,2010,784074,734652,6253238,28330292,15711,495895,700602,40.0,9206.0,,,,,,,1,1,47.0
Barcelos,2010,5643098,7056194,36894924,86869307,3712,35291,349469,47.0,14143.0,,4840.0,6711.0,,,,1,1,6.0
Juruá,2010,722374,158008,6952665,13909689,1964,29870,10522,5.0,,,,,,,,1,1,11.0
Pauini,2010,250109,74049,1889590,44655345,2875,104532,3823,150.0,141.0,,,,,,,1,1,35.0
Presidente Figueiredo,2010,3044116,120995,1048221,23786574,6691,272919,46367,15.0,79.0,51942.0,46.0,,46808.0,,,1,0,131.0
Ipixuna,2010,129916,18094,2121199,11232413,4308,142872,1371,,11.0,,,,,,,1,1,9.0
Rio Preto da Eva,2010,16633,6445,170264,6141384,3350,170154,3108,,,250.0,,,,,,1,1,16.0
Eirunepé,2010,230089,62815,2445203,13978701,5829,141178,614,20.0,19.0,,,,,,,1,1,20.0
Barreirinha,2010,793065,522039,650495,4169284,4103,285761,18172,307.0,,,76.0,,,,,1,1,30.0
Silves,2010,587885,180846,266593,3031306,1363,85445,15375,7.0,,,1115.0,,,,,1,1,4.0
Manicoré,2010,769786,546930,5063165,44578175,10388,882879,2507826,3371.0,20724.0,,103.0,5741.0,,,,1,1,169.0
Tabatinga,2010,109239,14024,985401,2517322,14861,11634,2188,,,,,,,,,1,0,13.0
Anori,2010,665561,335977,3625644,2104856,1943,18996,16464,5.0,7.0,,,,,,,1,0,7.0
Apuí,2010,283840,18389,1531169,57787174,5116,1504275,48373,10.0,35925.0,,120.0,4170.0,,,,1,0,346.0
Novo Airão,2010,1245133,213380,7739939,33016698,3962,36307,1617,,45.0,,15.0,,,,,1,1,20.0
Envira,2010,69265,10752,456411,7777018,3932,149672,792,,,,,,,,,1,1,54.0
Atalaia do Norte,2010,380793,1902,5165090,79768203,2931,10798,411,,,,,,,,,1,1,17.0
Itapiranga,2010,216765,112788,244328,4218508,1562,56172,3323,46.0,,,160.0,,,,,1,1,3.0
Novo Aripuanã,2010,772919,186395,3177637,40823090,4513,492518,888323,1632.0,14192.0,10093.0,23.0,15897.0,,,,1,1,107.0
Fonte Boa,2010,728004,176453,8549128,4114029,3229,16466,23040,,52.0,,,,,,,1,1,10.0
Maués,2010,1224850,373324,1900937,41011485,5554,347722,20573,103.0,16410.0,4755.0,12.0,74.0,,,,1,1,41.0
Coari,2010,2727509,567587,9394850,52268281,11330,61479,10152,,,,,,,,,1,1,9.0
Manacapuru,2010,1429072,593688,2525267,3262639,14381,347115,47756,14.0,,,,,,,,1,0,151.0
Manaquiri,2010,286772,200272,1304036,2528186,1158,120139,13315,,23.0,,,,,,,1,0,23.0
São Gabriel da Cachoeira,2010,1478928,418235,20208754,98530391,9321,8395,44493,116.0,13.0,148.0,,,,,,1,1,52.0
Caapiranga,2010,307087,137626,1230676,8801438,1310,79499,34268,1.0,,,,,,,,1,1,23.0
Borba,2010,1721767,461291,5466474,41728944,4067,138594,144216,34.0,304.0,,,,,,,1,1,27.0
Urucará,2010,605600,286869,1524776,28635377,3163,147173,4553,,1.0,27729.0,60.0,92.0,,,,1,1,16.0
Manaus,2010,1604865,113104,635241,9837705,270221,288850,6226,758.0,7.0,7360.0,36.0,,1977.0,,,1,1,37.0
Codajás,2010,1387191,570267,6145637,12813027,2394,22459,12488,,,,,,,,,1,0,14.0
São Paulo de Olivença,2010,642104,51253,3949146,17387361,10241,15926,2379,3.0,,,,,,,,1,1,9.0
Alvarães,2010,190633,33802,469755,5917887,1175,23768,1827,12.0,6.0,,,,,,,1,1,21.0
Canutama,2010,334623,162024,5899278,30197972,2416,760963,556171,4.0,18400.0,,1893.0,,,47.0,,1,0,98.0
Amaturá,2010,314115,19331,2048610,2935275,3177,6142,520,,,,,,,,,1,1,9.0
São Sebastião do Uatumã,2010,527564,100693,635695,10522863,2848,120969,6315,173.0,9.0,,40.0,,,,,1,1,22.0
Nova Olinda do Norte,2010,449230,148558,977271,4562887,2840,104708,9061,,41.0,,,,,,,1,1,13.0
Urucurituba,2010,857983,927081,1251375,109481,2644,57029,673,,,,1103.0,,,,,1,1,7.0
Iranduba,2010,324310,131327,363571,1453715,17657,191947,739,,7.0,,,,,,,1,0,77.0
Carauari,2010,412121,74957,5489819,22878154,3714,87962,2312,28.0,101.0,,,,,,,1,1,9.0
Jutaí,2010,1209915,140170,9777688,66783898,2113,42581,10224,12.0,466.0,,,,,,,1,1,10.0
Santa Isabel do Rio Negro,2010,767854,487406,14340418,54468051,3019,19522,97023,47.0,105.0,,,3420.0,,,,1,1,1.0
Beruri,2010,914278,384051,4563594,13665070,1647,65843,12454,15.0,41.0,,,,,,,1,1,20.0
Benjamin Constant,2010,190554,11193,883933,8636144,10982,12619,283,,,,,,,,,1,0,8.0
Itamarati,2010,286259,42921,2738859,25341559,1575,32028,1724,,,,,,,,,1,1,10.0
Tapauá,2010,1320841,840050,14793840,78515938,1805,67764,9028,20.0,279.0,,,,,,,1,1,8.0
Boa Vista do Ramos,2010,329275,366292,744304,1342108,1553,109768,7542,4.0,,,15.0,,,,,1,1,2.0
Lábrea,2010,504467,336400,6194411,65926468,7148,3172170,980149,202.0,10528.0,3434.0,2331.0,2453.0,,,,1,0,250.0
Careiro,2010,309050,267211,1701736,4044508,3385,476452,30997,38.0,120.0,182.0,,,,,,1,1,53.0
Maraã,2010,1585683,870749,10106316,6243258,1479,14637,22026,,,,,,,,,1,1,7.0
Nhamundá,2010,1060979,361841,568904,13588546,1128,170177,5313,186.0,143.0,,233.0,,,,,1,1,48.0
Anamã,2010,193398,62025,685669,1782609,481,8928,8119,,,,,,,,,1,1,13.0
Itacoatiara,2010,1694242,770669,2024077,4857833,19340,537745,56129,235.0,,1203.0,16.0,,,,,1,1,53.0
Careiro da Várzea,2011,677467,560873,851115,604170,658,214363,35108,,,,,,,,,1,0,131.0
Santo Antônio do Içá,2011,578326,28923,4162972,9071726,10574,7656,2875,,,,,,,,,1,1,10.0
Boca do Acre,2011,156014,44959,686525,21717145,4837,1703305,6066,489.0,1306.0,,160.0,,,,,1,1,397.0
Tonantins,2011,369370,52636,2133473,4647113,2372,8331,6656,,,,,,,,,1,1,7.0
Tefé,2011,729492,96860,1965079,23712373,8456,68104,1917,,389.0,,,,,,,1,0,87.0
Uarini,2011,558522,72263,3348778,7508829,2013,9615,11541,,,,,,,,,1,0,35.0
Guajará,2011,46333,8721,1188142,6912502,3919,388406,880,14.0,,,,,,,,1,0,75.0
Autazes,2011,1133396,519289,1474333,4760906,7810,618896,63973,5.0,141.0,,,,,,,1,1,51.0
Japurá,2011,1498729,132203,7750131,52990293,1116,11216,6380,,,146.0,,,,,,1,0,25.0
Parintins,2011,2281547,763435,934808,2156553,17262,506968,8617,87.0,,,338.0,,,,,1,0,72.0
Humaitá,2011,796018,727193,6247075,28325750,15753,504186,698557,60.0,9120.0,,,,,,,1,0,65.0
Barcelos,2011,5799721,6858790,36936342,86867400,3736,36442,349446,42.0,14139.0,,4953.0,6710.0,,,,1,0,25.0
Juruá,2011,719642,156215,6956127,13909144,1975,31122,10867,5.0,,,,,,,,1,0,34.0
Pauini,2011,256333,67545,1889050,44651758,2873,109339,3380,188.0,148.0,,,,,,,1,1,45.0
Presidente Figueiredo,2011,2992550,132910,1070920,23805301,6696,267729,49196,1.0,63.0,52719.0,74.0,,46614.0,,,1,1,104.0
Ipixuna,2011,132145,17875,2120820,11229482,4280,145254,317,,11.0,,,,,,,1,0,54.0
Rio Preto da Eva,2011,16059,6395,171136,6144871,3385,166440,3006,,,297.0,,,,,,1,1,32.0
Eirunepé,2011,242084,55835,2440148,13978355,5811,141980,223,6.0,26.0,,,,,,,1,0,51.0
Barreirinha,2011,888818,425565,656742,4174215,4115,275023,18475,333.0,,,16.0,,,,,1,0,119.0
Silves,2011,593886,173762,268781,3033807,1361,83482,14846,12.0,,,,,,,,1,0,25.0
Manicoré,2011,760787,553145,5063561,44533107,10575,930525,2508759,1853.0,20937.0,,101.0,5739.0,,,,1,0,346.0
Tabatinga,2011,108889,15569,983826,2517356,14823,11811,2394,,,,,,,,,1,0,13.0
Anori,2011,735829,273686,3626094,2104658,1991,18726,8459,6.0,7.0,,,,,,,1,1,7.0
Apuí,2011,282698,17812,1532649,57747779,5158,1535499,56956,87.0,35653.0,,105.0,4164.0,,,,1,0,235.0
Novo Airão,2011,1240345,211670,7744030,33016498,4143,36908,3442,,45.0,,14.0,,,,,1,0,21.0
Envira,2011,74212,7891,453893,7770808,3946,156710,382,,,,,,,,,1,0,92.0
Atalaia do Norte,2011,375320,2044,5168951,79767069,2941,13299,509,,,,,,,,,1,0,21.0
Itapiranga,2011,230421,98454,246350,4219719,1616,54334,2704,47.0,,,7.0,,,,,1,0,13.0
Novo Aripuanã,2011,777657,179803,3179158,40816887,4521,499647,887567,1794.0,14289.0,9994.0,16.0,15899.0,,,,1,0,131.0
